============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: metatsf_conv
  type: cnn
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: conv
    kernel_size: 31
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned

============================================================
Loaded data | train=36072 val=4551 test=9820
Built model: metatsf_conv | params=111,428
  epoch 1 batch 50/1127 loss=0.768912
  epoch 1 batch 100/1127 loss=0.742690
  epoch 1 batch 150/1127 loss=0.726274
  epoch 1 batch 200/1127 loss=0.717148
  epoch 1 batch 250/1127 loss=0.706193
  epoch 1 batch 300/1127 loss=0.696292
  epoch 1 batch 350/1127 loss=0.691959
  epoch 1 batch 400/1127 loss=0.686099
  epoch 1 batch 450/1127 loss=0.683510
  epoch 1 batch 500/1127 loss=0.678426
  epoch 1 batch 550/1127 loss=0.677573
  epoch 1 batch 600/1127 loss=0.673941
  epoch 1 batch 650/1127 loss=0.670867
  epoch 1 batch 700/1127 loss=0.667176
  epoch 1 batch 750/1127 loss=0.664709
  epoch 1 batch 800/1127 loss=0.660888
  epoch 1 batch 850/1127 loss=0.659394
  epoch 1 batch 900/1127 loss=0.656964
  epoch 1 batch 950/1127 loss=0.654610
  epoch 1 batch 1000/1127 loss=0.653093
  epoch 1 batch 1050/1127 loss=0.651107
  epoch 1 batch 1100/1127 loss=0.650227
Epoch 1 | train_loss=0.649026 val_mse=0.693131 val_mae=0.467205 (19.3s)
  Validation improved to 0.693131; saved checkpoint.
  epoch 2 batch 50/1127 loss=0.606046
  epoch 2 batch 100/1127 loss=0.609644
  epoch 2 batch 150/1127 loss=0.621394
  epoch 2 batch 200/1127 loss=0.609348
  epoch 2 batch 250/1127 loss=0.608625
  epoch 2 batch 300/1127 loss=0.606892
  epoch 2 batch 350/1127 loss=0.607065
  epoch 2 batch 400/1127 loss=0.605962
  epoch 2 batch 450/1127 loss=0.607068
  epoch 2 batch 500/1127 loss=0.606980
  epoch 2 batch 550/1127 loss=0.606778
  epoch 2 batch 600/1127 loss=0.608130
  epoch 2 batch 650/1127 loss=0.607145
  epoch 2 batch 700/1127 loss=0.607024
  epoch 2 batch 750/1127 loss=0.607736
  epoch 2 batch 800/1127 loss=0.606960
  epoch 2 batch 850/1127 loss=0.605497
  epoch 2 batch 900/1127 loss=0.605661
  epoch 2 batch 950/1127 loss=0.603980
  epoch 2 batch 1000/1127 loss=0.604034
  epoch 2 batch 1050/1127 loss=0.602249
  epoch 2 batch 1100/1127 loss=0.600870
Epoch 2 | train_loss=0.600594 val_mse=0.684705 val_mae=0.462855 (17.4s)
  Validation improved to 0.684705; saved checkpoint.
  epoch 3 batch 50/1127 loss=0.584635
  epoch 3 batch 100/1127 loss=0.583058
  epoch 3 batch 150/1127 loss=0.581012
  epoch 3 batch 200/1127 loss=0.577551
  epoch 3 batch 250/1127 loss=0.580829
  epoch 3 batch 300/1127 loss=0.583608
  epoch 3 batch 350/1127 loss=0.583639
  epoch 3 batch 400/1127 loss=0.584532
  epoch 3 batch 450/1127 loss=0.585325
  epoch 3 batch 500/1127 loss=0.582442
  epoch 3 batch 550/1127 loss=0.583176
  epoch 3 batch 600/1127 loss=0.581897
  epoch 3 batch 650/1127 loss=0.579928
  epoch 3 batch 700/1127 loss=0.579125
  epoch 3 batch 750/1127 loss=0.579978
  epoch 3 batch 800/1127 loss=0.579959
  epoch 3 batch 850/1127 loss=0.580825
  epoch 3 batch 900/1127 loss=0.581560
  epoch 3 batch 950/1127 loss=0.581925
  epoch 3 batch 1000/1127 loss=0.582312
  epoch 3 batch 1050/1127 loss=0.582905
  epoch 3 batch 1100/1127 loss=0.581994
Epoch 3 | train_loss=0.581680 val_mse=0.705818 val_mae=0.475061 (19.1s)
  EarlyStopping: 1/8
  epoch 4 batch 50/1127 loss=0.577566
  epoch 4 batch 100/1127 loss=0.577974
  epoch 4 batch 150/1127 loss=0.571253
  epoch 4 batch 200/1127 loss=0.577829
  epoch 4 batch 250/1127 loss=0.577816
  epoch 4 batch 300/1127 loss=0.580955
  epoch 4 batch 350/1127 loss=0.575787
