============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: metatsf_conv
  type: cnn
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: conv
    kernel_size: 31
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned

============================================================
Loaded data | train=36456 val=4935 test=10204
Built model: metatsf_conv | params=61,892
  epoch 1 batch 50/1139 loss=0.694489
  epoch 1 batch 100/1139 loss=0.644862
  epoch 1 batch 150/1139 loss=0.622680
  epoch 1 batch 200/1139 loss=0.608062
  epoch 1 batch 250/1139 loss=0.599245
  epoch 1 batch 300/1139 loss=0.592909
  epoch 1 batch 350/1139 loss=0.590887
  epoch 1 batch 400/1139 loss=0.588040
  epoch 1 batch 450/1139 loss=0.590606
  epoch 1 batch 500/1139 loss=0.591177
  epoch 1 batch 550/1139 loss=0.589693
  epoch 1 batch 600/1139 loss=0.583641
  epoch 1 batch 650/1139 loss=0.582245
  epoch 1 batch 700/1139 loss=0.578604
  epoch 1 batch 750/1139 loss=0.575827
  epoch 1 batch 800/1139 loss=0.575288
  epoch 1 batch 850/1139 loss=0.574730
  epoch 1 batch 900/1139 loss=0.571939
  epoch 1 batch 950/1139 loss=0.572364
  epoch 1 batch 1000/1139 loss=0.571836
  epoch 1 batch 1050/1139 loss=0.569118
  epoch 1 batch 1100/1139 loss=0.567425
Epoch 1 | train_loss=0.565920 val_mse=0.564695 val_mae=0.384829 (23.5s)
  Validation improved to 0.564695; saved checkpoint.
  epoch 2 batch 50/1139 loss=0.535809
  epoch 2 batch 100/1139 loss=0.525700
  epoch 2 batch 150/1139 loss=0.526016
  epoch 2 batch 200/1139 loss=0.529921
  epoch 2 batch 250/1139 loss=0.522152
  epoch 2 batch 300/1139 loss=0.521196
  epoch 2 batch 350/1139 loss=0.525171
  epoch 2 batch 400/1139 loss=0.528726
  epoch 2 batch 450/1139 loss=0.527013
  epoch 2 batch 500/1139 loss=0.527304
  epoch 2 batch 550/1139 loss=0.527052
  epoch 2 batch 600/1139 loss=0.531249
  epoch 2 batch 650/1139 loss=0.527749
  epoch 2 batch 700/1139 loss=0.528043
  epoch 2 batch 750/1139 loss=0.525725
  epoch 2 batch 800/1139 loss=0.527680
  epoch 2 batch 850/1139 loss=0.529130
  epoch 2 batch 900/1139 loss=0.528055
  epoch 2 batch 950/1139 loss=0.526062
  epoch 2 batch 1000/1139 loss=0.525003
  epoch 2 batch 1050/1139 loss=0.523631
  epoch 2 batch 1100/1139 loss=0.522684
Epoch 2 | train_loss=0.521759 val_mse=0.565156 val_mae=0.385188 (27.2s)
  EarlyStopping: 1/8
  epoch 3 batch 50/1139 loss=0.488284
  epoch 3 batch 100/1139 loss=0.503627
  epoch 3 batch 150/1139 loss=0.492380
  epoch 3 batch 200/1139 loss=0.496865
  epoch 3 batch 250/1139 loss=0.498267
  epoch 3 batch 300/1139 loss=0.507372
  epoch 3 batch 350/1139 loss=0.501139
  epoch 3 batch 400/1139 loss=0.504757
  epoch 3 batch 450/1139 loss=0.508589
  epoch 3 batch 500/1139 loss=0.511185
  epoch 3 batch 550/1139 loss=0.513366
  epoch 3 batch 600/1139 loss=0.511876
  epoch 3 batch 650/1139 loss=0.513195
  epoch 3 batch 700/1139 loss=0.511514
