============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: metatsf_vglg
  type: vglg
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: vglg
    kernel_size: 31
    rank: 8
    dropout: 0.1
    gate_hidden: 16
    gate_entropy_reg: 0.0
    gate_mode: fixed_1.0
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.0001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: ablation_local_only

============================================================
Loaded data | train=36456 val=4935 test=10204
Built model: metatsf_vglg | params=65,274
  epoch 1 batch 50/1139 loss=0.981884
  epoch 1 batch 100/1139 loss=0.939200
  epoch 1 batch 150/1139 loss=0.907435
  epoch 1 batch 200/1139 loss=0.870852
  epoch 1 batch 250/1139 loss=0.836854
  epoch 1 batch 300/1139 loss=0.818740
  epoch 1 batch 350/1139 loss=0.806651
  epoch 1 batch 400/1139 loss=0.789600
  epoch 1 batch 450/1139 loss=0.777928
  epoch 1 batch 500/1139 loss=0.769177
  epoch 1 batch 550/1139 loss=0.756905
  epoch 1 batch 600/1139 loss=0.747784
  epoch 1 batch 650/1139 loss=0.739419
  epoch 1 batch 700/1139 loss=0.731408
  epoch 1 batch 750/1139 loss=0.725388
  epoch 1 batch 800/1139 loss=0.719198
  epoch 1 batch 850/1139 loss=0.713825
  epoch 1 batch 900/1139 loss=0.707608
  epoch 1 batch 950/1139 loss=0.702093
  epoch 1 batch 1000/1139 loss=0.698188
  epoch 1 batch 1050/1139 loss=0.693500
  epoch 1 batch 1100/1139 loss=0.690749
Epoch 1 | train_loss=0.688943 val_mse=0.602048 val_mae=0.401422 (9.0s)
  Validation improved to 0.602048; saved checkpoint.
  epoch 2 batch 50/1139 loss=0.614509
  epoch 2 batch 100/1139 loss=0.610187
  epoch 2 batch 150/1139 loss=0.598529
  epoch 2 batch 200/1139 loss=0.596355
  epoch 2 batch 250/1139 loss=0.597624
