============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: metatsf_attn
  type: transformer
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: attn
    n_heads: 4
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0001
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned3

============================================================
Loaded data | train=36072 val=4551 test=9820
Built model: metatsf_attn | params=241,256
  epoch 1 batch 50/1127 loss=0.764480
  epoch 1 batch 100/1127 loss=0.726199
  epoch 1 batch 150/1127 loss=0.710633
  epoch 1 batch 200/1127 loss=0.699414
  epoch 1 batch 250/1127 loss=0.694779
  epoch 1 batch 300/1127 loss=0.692936
  epoch 1 batch 350/1127 loss=0.685659
  epoch 1 batch 400/1127 loss=0.679212
  epoch 1 batch 450/1127 loss=0.675795
  epoch 1 batch 500/1127 loss=0.672715
  epoch 1 batch 550/1127 loss=0.671700
  epoch 1 batch 600/1127 loss=0.668977
  epoch 1 batch 650/1127 loss=0.667468
  epoch 1 batch 700/1127 loss=0.663462
  epoch 1 batch 750/1127 loss=0.660374
  epoch 1 batch 800/1127 loss=0.658130
  epoch 1 batch 850/1127 loss=0.657819
  epoch 1 batch 900/1127 loss=0.656197
  epoch 1 batch 950/1127 loss=0.653609
  epoch 1 batch 1000/1127 loss=0.650955
  epoch 1 batch 1050/1127 loss=0.649395
  epoch 1 batch 1100/1127 loss=0.648954
Epoch 1 | train_loss=0.647762 val_mse=0.696388 val_mae=0.467253 (19.5s)
  Validation improved to 0.696388; saved checkpoint.
  epoch 2 batch 50/1127 loss=0.606442
  epoch 2 batch 100/1127 loss=0.608599
  epoch 2 batch 150/1127 loss=0.609406
  epoch 2 batch 200/1127 loss=0.615714
  epoch 2 batch 250/1127 loss=0.616852
  epoch 2 batch 300/1127 loss=0.616583
  epoch 2 batch 350/1127 loss=0.620916
  epoch 2 batch 400/1127 loss=0.619481
  epoch 2 batch 450/1127 loss=0.616472
  epoch 2 batch 500/1127 loss=0.615152
  epoch 2 batch 550/1127 loss=0.614309
  epoch 2 batch 600/1127 loss=0.615850
  epoch 2 batch 650/1127 loss=0.613956
  epoch 2 batch 700/1127 loss=0.612022
  epoch 2 batch 750/1127 loss=0.610589
  epoch 2 batch 800/1127 loss=0.608913
  epoch 2 batch 850/1127 loss=0.608453
  epoch 2 batch 900/1127 loss=0.608333
  epoch 2 batch 950/1127 loss=0.607920
  epoch 2 batch 1000/1127 loss=0.607356
  epoch 2 batch 1050/1127 loss=0.606572
  epoch 2 batch 1100/1127 loss=0.606603
Epoch 2 | train_loss=0.606791 val_mse=0.692879 val_mae=0.468845 (18.5s)
  Validation improved to 0.692879; saved checkpoint.
  epoch 3 batch 50/1127 loss=0.565298
  epoch 3 batch 100/1127 loss=0.569589
  epoch 3 batch 150/1127 loss=0.583366
  epoch 3 batch 200/1127 loss=0.585215
  epoch 3 batch 250/1127 loss=0.586685
  epoch 3 batch 300/1127 loss=0.586538
  epoch 3 batch 350/1127 loss=0.584307
  epoch 3 batch 400/1127 loss=0.583997
  epoch 3 batch 450/1127 loss=0.584960
  epoch 3 batch 500/1127 loss=0.583527
  epoch 3 batch 550/1127 loss=0.584298
  epoch 3 batch 600/1127 loss=0.584717
  epoch 3 batch 650/1127 loss=0.584543
  epoch 3 batch 700/1127 loss=0.585060
  epoch 3 batch 750/1127 loss=0.586943
  epoch 3 batch 800/1127 loss=0.588494
  epoch 3 batch 850/1127 loss=0.588081
  epoch 3 batch 900/1127 loss=0.588043
  epoch 3 batch 950/1127 loss=0.588448
  epoch 3 batch 1000/1127 loss=0.588649
  epoch 3 batch 1050/1127 loss=0.588927
  epoch 3 batch 1100/1127 loss=0.589087
Epoch 3 | train_loss=0.589393 val_mse=0.691057 val_mae=0.468441 (18.5s)
  Validation improved to 0.691057; saved checkpoint.
  epoch 4 batch 50/1127 loss=0.581450
  epoch 4 batch 100/1127 loss=0.578587
  epoch 4 batch 150/1127 loss=0.577695
  epoch 4 batch 200/1127 loss=0.579251
  epoch 4 batch 250/1127 loss=0.585372
  epoch 4 batch 300/1127 loss=0.583676
  epoch 4 batch 350/1127 loss=0.581558
  epoch 4 batch 400/1127 loss=0.579785
  epoch 4 batch 450/1127 loss=0.580161
  epoch 4 batch 500/1127 loss=0.578530
  epoch 4 batch 550/1127 loss=0.578243
  epoch 4 batch 600/1127 loss=0.577196
  epoch 4 batch 650/1127 loss=0.577002
  epoch 4 batch 700/1127 loss=0.577623
  epoch 4 batch 750/1127 loss=0.578243
  epoch 4 batch 800/1127 loss=0.576805
  epoch 4 batch 850/1127 loss=0.576912
  epoch 4 batch 900/1127 loss=0.578015
  epoch 4 batch 950/1127 loss=0.579194
  epoch 4 batch 1000/1127 loss=0.578500
  epoch 4 batch 1050/1127 loss=0.579635
  epoch 4 batch 1100/1127 loss=0.579076
Epoch 4 | train_loss=0.579085 val_mse=0.705836 val_mae=0.476022 (17.9s)
  EarlyStopping: 1/8
  epoch 5 batch 50/1127 loss=0.565430
  epoch 5 batch 100/1127 loss=0.578643
  epoch 5 batch 150/1127 loss=0.586688
  epoch 5 batch 200/1127 loss=0.584345
  epoch 5 batch 250/1127 loss=0.579661
  epoch 5 batch 300/1127 loss=0.574930
  epoch 5 batch 350/1127 loss=0.573589
  epoch 5 batch 400/1127 loss=0.574830
  epoch 5 batch 450/1127 loss=0.570491
  epoch 5 batch 500/1127 loss=0.571852
  epoch 5 batch 550/1127 loss=0.570234
  epoch 5 batch 600/1127 loss=0.568491
  epoch 5 batch 650/1127 loss=0.569072
  epoch 5 batch 700/1127 loss=0.568824
  epoch 5 batch 750/1127 loss=0.568579
  epoch 5 batch 800/1127 loss=0.569019
  epoch 5 batch 850/1127 loss=0.568951
  epoch 5 batch 900/1127 loss=0.568723
  epoch 5 batch 950/1127 loss=0.567889
  epoch 5 batch 1000/1127 loss=0.568320
  epoch 5 batch 1050/1127 loss=0.568175
  epoch 5 batch 1100/1127 loss=0.569077
Epoch 5 | train_loss=0.569337 val_mse=0.709383 val_mae=0.479205 (18.7s)
  EarlyStopping: 2/8
  epoch 6 batch 50/1127 loss=0.587069
  epoch 6 batch 100/1127 loss=0.579470
  epoch 6 batch 150/1127 loss=0.578165
  epoch 6 batch 200/1127 loss=0.570007
  epoch 6 batch 250/1127 loss=0.567059
  epoch 6 batch 300/1127 loss=0.566943
  epoch 6 batch 350/1127 loss=0.569643
  epoch 6 batch 400/1127 loss=0.567621
  epoch 6 batch 450/1127 loss=0.568119
  epoch 6 batch 500/1127 loss=0.567349
  epoch 6 batch 550/1127 loss=0.567424
  epoch 6 batch 600/1127 loss=0.567222
  epoch 6 batch 650/1127 loss=0.565087
  epoch 6 batch 700/1127 loss=0.565475
  epoch 6 batch 750/1127 loss=0.563453
