============================================================
data:
  name: traffic
  root_path: data/traffic
  data_path: traffic.csv
  data_kind: custom
  features: M
  target: OT
  freq: h
  n_vars: 862
model:
  name: gru
  type: rnn
  d_model: 128
  e_layers: 2
  dropout: 0.1
  revin: true
  affine: true
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 8
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=11993 val=1565 test=3317
Built model: gru | params=175,868
  epoch 1 batch 50/1499 loss=0.778591
  epoch 1 batch 100/1499 loss=0.680623
  epoch 1 batch 150/1499 loss=0.643691
  epoch 1 batch 200/1499 loss=0.622637
  epoch 1 batch 250/1499 loss=0.607906
  epoch 1 batch 300/1499 loss=0.597617
  epoch 1 batch 350/1499 loss=0.587662
  epoch 1 batch 400/1499 loss=0.577986
  epoch 1 batch 450/1499 loss=0.567700
  epoch 1 batch 500/1499 loss=0.558546
  epoch 1 batch 550/1499 loss=0.549945
  epoch 1 batch 600/1499 loss=0.542299
  epoch 1 batch 650/1499 loss=0.535559
  epoch 1 batch 700/1499 loss=0.529408
  epoch 1 batch 750/1499 loss=0.523397
  epoch 1 batch 800/1499 loss=0.517766
  epoch 1 batch 850/1499 loss=0.512036
  epoch 1 batch 900/1499 loss=0.506804
  epoch 1 batch 950/1499 loss=0.501928
  epoch 1 batch 1000/1499 loss=0.497156
  epoch 1 batch 1050/1499 loss=0.492460
  epoch 1 batch 1100/1499 loss=0.487861
  epoch 1 batch 1150/1499 loss=0.483629
  epoch 1 batch 1200/1499 loss=0.479654
  epoch 1 batch 1250/1499 loss=0.475723
  epoch 1 batch 1300/1499 loss=0.471811
  epoch 1 batch 1350/1499 loss=0.468148
  epoch 1 batch 1400/1499 loss=0.464677
  epoch 1 batch 1450/1499 loss=0.461608
Epoch 1 | train_loss=0.458505 val_mse=0.508510 val_mae=0.364917 (47.6s)
  Validation improved to 0.508510; saved checkpoint.
  epoch 2 batch 50/1499 loss=0.361269
  epoch 2 batch 100/1499 loss=0.357768
  epoch 2 batch 150/1499 loss=0.355186
  epoch 2 batch 200/1499 loss=0.352878
  epoch 2 batch 250/1499 loss=0.351973
  epoch 2 batch 300/1499 loss=0.350854
  epoch 2 batch 350/1499 loss=0.350204
  epoch 2 batch 400/1499 loss=0.349471
  epoch 2 batch 450/1499 loss=0.348955
  epoch 2 batch 500/1499 loss=0.347572
  epoch 2 batch 550/1499 loss=0.346776
  epoch 2 batch 600/1499 loss=0.345437
  epoch 2 batch 650/1499 loss=0.344300
  epoch 2 batch 700/1499 loss=0.343065
  epoch 2 batch 750/1499 loss=0.342055
  epoch 2 batch 800/1499 loss=0.340884
  epoch 2 batch 850/1499 loss=0.340094
  epoch 2 batch 900/1499 loss=0.339727
  epoch 2 batch 950/1499 loss=0.339013
  epoch 2 batch 1000/1499 loss=0.338405
  epoch 2 batch 1050/1499 loss=0.337777
  epoch 2 batch 1100/1499 loss=0.337408
  epoch 2 batch 1150/1499 loss=0.336818
  epoch 2 batch 1200/1499 loss=0.335925
  epoch 2 batch 1250/1499 loss=0.335406
  epoch 2 batch 1300/1499 loss=0.334860
  epoch 2 batch 1350/1499 loss=0.334274
  epoch 2 batch 1400/1499 loss=0.333461
  epoch 2 batch 1450/1499 loss=0.332864
Epoch 2 | train_loss=0.332435 val_mse=0.467991 val_mae=0.328566 (48.0s)
  Validation improved to 0.467991; saved checkpoint.
  epoch 3 batch 50/1499 loss=0.310630
  epoch 3 batch 100/1499 loss=0.308922
  epoch 3 batch 150/1499 loss=0.307736
  epoch 3 batch 200/1499 loss=0.307963
  epoch 3 batch 250/1499 loss=0.307621
  epoch 3 batch 300/1499 loss=0.307667
  epoch 3 batch 350/1499 loss=0.307967
  epoch 3 batch 400/1499 loss=0.308432
  epoch 3 batch 450/1499 loss=0.308229
  epoch 3 batch 500/1499 loss=0.308286
  epoch 3 batch 550/1499 loss=0.308010
  epoch 3 batch 600/1499 loss=0.307781
  epoch 3 batch 650/1499 loss=0.307807
  epoch 3 batch 700/1499 loss=0.307613
  epoch 3 batch 750/1499 loss=0.308005
  epoch 3 batch 800/1499 loss=0.308161
  epoch 3 batch 850/1499 loss=0.307744
  epoch 3 batch 900/1499 loss=0.307611
  epoch 3 batch 950/1499 loss=0.307400
  epoch 3 batch 1000/1499 loss=0.307295
  epoch 3 batch 1050/1499 loss=0.307158
  epoch 3 batch 1100/1499 loss=0.307004
  epoch 3 batch 1150/1499 loss=0.306767
  epoch 3 batch 1200/1499 loss=0.306541
  epoch 3 batch 1250/1499 loss=0.306343
  epoch 3 batch 1300/1499 loss=0.306256
  epoch 3 batch 1350/1499 loss=0.306359
  epoch 3 batch 1400/1499 loss=0.306203
  epoch 3 batch 1450/1499 loss=0.306138
Epoch 3 | train_loss=0.306014 val_mse=0.470095 val_mae=0.319451 (47.9s)
  EarlyStopping: 1/3
  epoch 4 batch 50/1499 loss=0.298408
  epoch 4 batch 100/1499 loss=0.297254
  epoch 4 batch 150/1499 loss=0.297312
  epoch 4 batch 200/1499 loss=0.297744
  epoch 4 batch 250/1499 loss=0.297583
  epoch 4 batch 300/1499 loss=0.297518
  epoch 4 batch 350/1499 loss=0.297171
  epoch 4 batch 400/1499 loss=0.297425
  epoch 4 batch 450/1499 loss=0.297566
  epoch 4 batch 500/1499 loss=0.297068
  epoch 4 batch 550/1499 loss=0.296929
  epoch 4 batch 600/1499 loss=0.296882
  epoch 4 batch 650/1499 loss=0.296795
  epoch 4 batch 700/1499 loss=0.296980
  epoch 4 batch 750/1499 loss=0.297044
  epoch 4 batch 800/1499 loss=0.296766
  epoch 4 batch 850/1499 loss=0.296949
  epoch 4 batch 900/1499 loss=0.296974
  epoch 4 batch 950/1499 loss=0.297148
  epoch 4 batch 1000/1499 loss=0.296929
  epoch 4 batch 1050/1499 loss=0.297000
  epoch 4 batch 1100/1499 loss=0.297147
  epoch 4 batch 1150/1499 loss=0.296987
  epoch 4 batch 1200/1499 loss=0.296786
  epoch 4 batch 1250/1499 loss=0.296730
  epoch 4 batch 1300/1499 loss=0.296506
  epoch 4 batch 1350/1499 loss=0.296295
  epoch 4 batch 1400/1499 loss=0.296303
  epoch 4 batch 1450/1499 loss=0.296340
Epoch 4 | train_loss=0.296385 val_mse=0.458417 val_mae=0.312587 (48.2s)
  Validation improved to 0.458417; saved checkpoint.
  epoch 5 batch 50/1499 loss=0.292751
  epoch 5 batch 100/1499 loss=0.294470
  epoch 5 batch 150/1499 loss=0.294488
  epoch 5 batch 200/1499 loss=0.293546
  epoch 5 batch 250/1499 loss=0.293260
  epoch 5 batch 300/1499 loss=0.293117
  epoch 5 batch 350/1499 loss=0.293550
  epoch 5 batch 400/1499 loss=0.292319
  epoch 5 batch 450/1499 loss=0.292153
  epoch 5 batch 500/1499 loss=0.292105
  epoch 5 batch 550/1499 loss=0.292668
  epoch 5 batch 600/1499 loss=0.291950
  epoch 5 batch 650/1499 loss=0.292266
  epoch 5 batch 700/1499 loss=0.292141
  epoch 5 batch 750/1499 loss=0.292147
  epoch 5 batch 800/1499 loss=0.291605
  epoch 5 batch 850/1499 loss=0.291740
  epoch 5 batch 900/1499 loss=0.291897
  epoch 5 batch 950/1499 loss=0.292027
  epoch 5 batch 1000/1499 loss=0.291873
  epoch 5 batch 1050/1499 loss=0.291871
  epoch 5 batch 1100/1499 loss=0.291736
  epoch 5 batch 1150/1499 loss=0.291722
  epoch 5 batch 1200/1499 loss=0.291541
  epoch 5 batch 1250/1499 loss=0.291510
  epoch 5 batch 1300/1499 loss=0.291498
  epoch 5 batch 1350/1499 loss=0.291527
  epoch 5 batch 1400/1499 loss=0.291380
  epoch 5 batch 1450/1499 loss=0.291283
Epoch 5 | train_loss=0.291411 val_mse=0.458150 val_mae=0.308543 (47.8s)
  Validation improved to 0.458150; saved checkpoint.
  epoch 6 batch 50/1499 loss=0.287870
  epoch 6 batch 100/1499 loss=0.287478
  epoch 6 batch 150/1499 loss=0.289255
  epoch 6 batch 200/1499 loss=0.289465
  epoch 6 batch 250/1499 loss=0.290369
  epoch 6 batch 300/1499 loss=0.290511
  epoch 6 batch 350/1499 loss=0.290045
  epoch 6 batch 400/1499 loss=0.290448
  epoch 6 batch 450/1499 loss=0.290436
  epoch 6 batch 500/1499 loss=0.290220
  epoch 6 batch 550/1499 loss=0.290335
  epoch 6 batch 600/1499 loss=0.290516
  epoch 6 batch 650/1499 loss=0.290340
  epoch 6 batch 700/1499 loss=0.290051
  epoch 6 batch 750/1499 loss=0.289998
  epoch 6 batch 800/1499 loss=0.289750
  epoch 6 batch 850/1499 loss=0.289943
  epoch 6 batch 900/1499 loss=0.289938
  epoch 6 batch 950/1499 loss=0.290093
  epoch 6 batch 1000/1499 loss=0.290119
  epoch 6 batch 1050/1499 loss=0.290027
  epoch 6 batch 1100/1499 loss=0.289879
  epoch 6 batch 1150/1499 loss=0.289651
  epoch 6 batch 1200/1499 loss=0.289427
  epoch 6 batch 1250/1499 loss=0.289359
  epoch 6 batch 1300/1499 loss=0.289227
  epoch 6 batch 1350/1499 loss=0.289182
  epoch 6 batch 1400/1499 loss=0.288944
  epoch 6 batch 1450/1499 loss=0.288862
Epoch 6 | train_loss=0.288935 val_mse=0.456159 val_mae=0.307217 (48.1s)
  Validation improved to 0.456159; saved checkpoint.
  epoch 7 batch 50/1499 loss=0.287587
  epoch 7 batch 100/1499 loss=0.287859
  epoch 7 batch 150/1499 loss=0.287719
  epoch 7 batch 200/1499 loss=0.289303
  epoch 7 batch 250/1499 loss=0.288809
  epoch 7 batch 300/1499 loss=0.288274
  epoch 7 batch 350/1499 loss=0.288407
  epoch 7 batch 400/1499 loss=0.288026
  epoch 7 batch 450/1499 loss=0.287889
  epoch 7 batch 500/1499 loss=0.287843
  epoch 7 batch 550/1499 loss=0.287591
  epoch 7 batch 600/1499 loss=0.287762
  epoch 7 batch 650/1499 loss=0.287654
  epoch 7 batch 700/1499 loss=0.287688
  epoch 7 batch 750/1499 loss=0.287685
  epoch 7 batch 800/1499 loss=0.287752
  epoch 7 batch 850/1499 loss=0.287750
  epoch 7 batch 900/1499 loss=0.287955
  epoch 7 batch 950/1499 loss=0.287975
  epoch 7 batch 1000/1499 loss=0.287957
  epoch 7 batch 1050/1499 loss=0.287982
  epoch 7 batch 1100/1499 loss=0.288066
  epoch 7 batch 1150/1499 loss=0.287926
  epoch 7 batch 1200/1499 loss=0.287990
  epoch 7 batch 1250/1499 loss=0.288030
  epoch 7 batch 1300/1499 loss=0.288005
  epoch 7 batch 1350/1499 loss=0.287968
  epoch 7 batch 1400/1499 loss=0.287792
  epoch 7 batch 1450/1499 loss=0.287771
Epoch 7 | train_loss=0.287672 val_mse=0.456652 val_mae=0.305787 (48.0s)
  EarlyStopping: 1/3
  epoch 8 batch 50/1499 loss=0.287544
  epoch 8 batch 100/1499 loss=0.288548
  epoch 8 batch 150/1499 loss=0.287749
  epoch 8 batch 200/1499 loss=0.287606
  epoch 8 batch 250/1499 loss=0.288128
  epoch 8 batch 300/1499 loss=0.287768
  epoch 8 batch 350/1499 loss=0.287357
  epoch 8 batch 400/1499 loss=0.287189
  epoch 8 batch 450/1499 loss=0.287078
  epoch 8 batch 500/1499 loss=0.287068
  epoch 8 batch 550/1499 loss=0.286879
  epoch 8 batch 600/1499 loss=0.286958
  epoch 8 batch 650/1499 loss=0.287069
  epoch 8 batch 700/1499 loss=0.287012
  epoch 8 batch 750/1499 loss=0.287062
  epoch 8 batch 800/1499 loss=0.287060
  epoch 8 batch 850/1499 loss=0.286967
  epoch 8 batch 900/1499 loss=0.286762
  epoch 8 batch 950/1499 loss=0.286950
  epoch 8 batch 1000/1499 loss=0.286979
  epoch 8 batch 1050/1499 loss=0.287019
  epoch 8 batch 1100/1499 loss=0.286968
  epoch 8 batch 1150/1499 loss=0.287103
  epoch 8 batch 1200/1499 loss=0.287077
  epoch 8 batch 1250/1499 loss=0.286931
  epoch 8 batch 1300/1499 loss=0.287008
  epoch 8 batch 1350/1499 loss=0.286998
  epoch 8 batch 1400/1499 loss=0.286780
  epoch 8 batch 1450/1499 loss=0.286803
Epoch 8 | train_loss=0.287011 val_mse=0.455794 val_mae=0.305904 (48.0s)
  Validation improved to 0.455794; saved checkpoint.
  epoch 9 batch 50/1499 loss=0.290402
  epoch 9 batch 100/1499 loss=0.290146
  epoch 9 batch 150/1499 loss=0.288972
  epoch 9 batch 200/1499 loss=0.288634
  epoch 9 batch 250/1499 loss=0.290026
  epoch 9 batch 300/1499 loss=0.288743
  epoch 9 batch 350/1499 loss=0.288052
  epoch 9 batch 400/1499 loss=0.288208
  epoch 9 batch 450/1499 loss=0.287970
  epoch 9 batch 500/1499 loss=0.287447
  epoch 9 batch 550/1499 loss=0.287678
  epoch 9 batch 600/1499 loss=0.287262
  epoch 9 batch 650/1499 loss=0.287371
  epoch 9 batch 700/1499 loss=0.287030
  epoch 9 batch 750/1499 loss=0.287079
  epoch 9 batch 800/1499 loss=0.286988
  epoch 9 batch 850/1499 loss=0.287024
  epoch 9 batch 900/1499 loss=0.286992
  epoch 9 batch 950/1499 loss=0.286577
  epoch 9 batch 1000/1499 loss=0.286675
  epoch 9 batch 1050/1499 loss=0.286672
  epoch 9 batch 1100/1499 loss=0.286653
  epoch 9 batch 1150/1499 loss=0.286716
  epoch 9 batch 1200/1499 loss=0.286606
  epoch 9 batch 1250/1499 loss=0.286643
  epoch 9 batch 1300/1499 loss=0.286685
  epoch 9 batch 1350/1499 loss=0.286556
  epoch 9 batch 1400/1499 loss=0.286630
  epoch 9 batch 1450/1499 loss=0.286735
Epoch 9 | train_loss=0.286668 val_mse=0.456114 val_mae=0.305222 (48.2s)
  EarlyStopping: 1/3
  epoch 10 batch 50/1499 loss=0.286106
  epoch 10 batch 100/1499 loss=0.288456
  epoch 10 batch 150/1499 loss=0.285965
  epoch 10 batch 200/1499 loss=0.284750
  epoch 10 batch 250/1499 loss=0.284896
  epoch 10 batch 300/1499 loss=0.285292
  epoch 10 batch 350/1499 loss=0.285800
  epoch 10 batch 400/1499 loss=0.286257
  epoch 10 batch 450/1499 loss=0.286561
  epoch 10 batch 500/1499 loss=0.286536
  epoch 10 batch 550/1499 loss=0.286792
  epoch 10 batch 600/1499 loss=0.286745
  epoch 10 batch 650/1499 loss=0.286789
  epoch 10 batch 700/1499 loss=0.286594
  epoch 10 batch 750/1499 loss=0.286484
  epoch 10 batch 800/1499 loss=0.286313
  epoch 10 batch 850/1499 loss=0.286232
  epoch 10 batch 900/1499 loss=0.286398
  epoch 10 batch 950/1499 loss=0.286462
  epoch 10 batch 1000/1499 loss=0.286452
  epoch 10 batch 1050/1499 loss=0.286534
  epoch 10 batch 1100/1499 loss=0.286425
  epoch 10 batch 1150/1499 loss=0.286261
  epoch 10 batch 1200/1499 loss=0.286384
  epoch 10 batch 1250/1499 loss=0.286505
  epoch 10 batch 1300/1499 loss=0.286496
  epoch 10 batch 1350/1499 loss=0.286420
  epoch 10 batch 1400/1499 loss=0.286460
  epoch 10 batch 1450/1499 loss=0.286441
Epoch 10 | train_loss=0.286483 val_mse=0.455991 val_mae=0.304837 (48.1s)
  EarlyStopping: 2/3

Test | mse=0.567992 mae=0.337735 rmse=0.753652
