============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: timemixer
  type: mlp
  d_model: 16
  d_ff: 32
  e_layers: 2
  down_sampling_layers: 3
  down_sampling_window: 2
  down_sampling_method: avg
  decomp_method: moving_avg
  moving_avg: 25
  top_k: 5
  channel_independence: 1
  use_norm: 1
  dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 5
  learning_rate: 0.01
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36072 val=4551 test=9820
Built model: timemixer | params=190,281
  epoch 1 batch 50/1127 loss=0.869907
  epoch 1 batch 100/1127 loss=0.787810
  epoch 1 batch 150/1127 loss=0.748428
  epoch 1 batch 200/1127 loss=0.734724
  epoch 1 batch 250/1127 loss=0.718015
  epoch 1 batch 300/1127 loss=0.706038
  epoch 1 batch 350/1127 loss=0.702097
  epoch 1 batch 400/1127 loss=0.698144
  epoch 1 batch 450/1127 loss=0.692298
  epoch 1 batch 500/1127 loss=0.688669
  epoch 1 batch 550/1127 loss=0.684889
  epoch 1 batch 600/1127 loss=0.683838
  epoch 1 batch 650/1127 loss=0.681900
  epoch 1 batch 700/1127 loss=0.679817
  epoch 1 batch 750/1127 loss=0.678164
  epoch 1 batch 800/1127 loss=0.677212
  epoch 1 batch 850/1127 loss=0.674824
  epoch 1 batch 900/1127 loss=0.673787
  epoch 1 batch 950/1127 loss=0.672533
  epoch 1 batch 1000/1127 loss=0.671749
  epoch 1 batch 1050/1127 loss=0.670525
  epoch 1 batch 1100/1127 loss=0.668840
Epoch 1 | train_loss=0.667958 val_mse=0.677553 val_mae=0.462546 (21.9s)
  Validation improved to 0.677553; saved checkpoint.
  epoch 2 batch 50/1127 loss=0.650164
  epoch 2 batch 100/1127 loss=0.645143
  epoch 2 batch 150/1127 loss=0.645581
  epoch 2 batch 200/1127 loss=0.641808
  epoch 2 batch 250/1127 loss=0.645529
  epoch 2 batch 300/1127 loss=0.642531
  epoch 2 batch 350/1127 loss=0.644851
  epoch 2 batch 400/1127 loss=0.646193
  epoch 2 batch 450/1127 loss=0.647753
  epoch 2 batch 500/1127 loss=0.646306
  epoch 2 batch 550/1127 loss=0.646377
  epoch 2 batch 600/1127 loss=0.643755
  epoch 2 batch 650/1127 loss=0.644200
  epoch 2 batch 700/1127 loss=0.644537
  epoch 2 batch 750/1127 loss=0.645435
  epoch 2 batch 800/1127 loss=0.645172
  epoch 2 batch 850/1127 loss=0.645748
  epoch 2 batch 900/1127 loss=0.645493
  epoch 2 batch 950/1127 loss=0.645411
  epoch 2 batch 1000/1127 loss=0.645136
  epoch 2 batch 1050/1127 loss=0.643650
  epoch 2 batch 1100/1127 loss=0.642849
Epoch 2 | train_loss=0.643518 val_mse=0.672739 val_mae=0.455396 (22.0s)
  Validation improved to 0.672739; saved checkpoint.
