============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: patchtst
  type: transformer
  d_model: 128
  d_ff: 256
  e_layers: 3
  n_heads: 16
  patch_len: 16
  stride: 8
  dropout: 0.2
  fc_dropout: 0.2
  head_dropout: 0.0
  activation: gelu
  revin: 1
  affine: 0
  subtract_last: 0
  decomposition: 0
  kernel_size: 25
  individual: 0
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.0001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36600 val=5079 test=10348
Built model: patchtst | params=694,848
  epoch 1 batch 50/1143 loss=0.696739
  epoch 1 batch 100/1143 loss=0.677491
  epoch 1 batch 150/1143 loss=0.641867
  epoch 1 batch 200/1143 loss=0.633337
  epoch 1 batch 250/1143 loss=0.622919
  epoch 1 batch 300/1143 loss=0.612977
  epoch 1 batch 350/1143 loss=0.609014
  epoch 1 batch 400/1143 loss=0.605413
  epoch 1 batch 450/1143 loss=0.597620
  epoch 1 batch 500/1143 loss=0.593455
  epoch 1 batch 550/1143 loss=0.590881
  epoch 1 batch 600/1143 loss=0.589094
  epoch 1 batch 650/1143 loss=0.586131
  epoch 1 batch 700/1143 loss=0.584659
  epoch 1 batch 750/1143 loss=0.579861
  epoch 1 batch 800/1143 loss=0.579971
  epoch 1 batch 850/1143 loss=0.580557
  epoch 1 batch 900/1143 loss=0.577475
  epoch 1 batch 950/1143 loss=0.576951
  epoch 1 batch 1000/1143 loss=0.574320
  epoch 1 batch 1050/1143 loss=0.573034
  epoch 1 batch 1100/1143 loss=0.571211
Epoch 1 | train_loss=0.572455 val_mse=0.533288 val_mae=0.348505 (215.9s)
  Validation improved to 0.533288; saved checkpoint.
  epoch 2 batch 50/1143 loss=0.590329
  epoch 2 batch 100/1143 loss=0.550985
  epoch 2 batch 150/1143 loss=0.561679
  epoch 2 batch 200/1143 loss=0.560053
  epoch 2 batch 250/1143 loss=0.558836
  epoch 2 batch 300/1143 loss=0.557434
  epoch 2 batch 350/1143 loss=0.559619
  epoch 2 batch 400/1143 loss=0.554847
  epoch 2 batch 450/1143 loss=0.553615
  epoch 2 batch 500/1143 loss=0.555240
  epoch 2 batch 550/1143 loss=0.555615
  epoch 2 batch 600/1143 loss=0.553901
  epoch 2 batch 650/1143 loss=0.554149
  epoch 2 batch 700/1143 loss=0.552319
  epoch 2 batch 750/1143 loss=0.549688
  epoch 2 batch 800/1143 loss=0.548603
  epoch 2 batch 850/1143 loss=0.549611
  epoch 2 batch 900/1143 loss=0.547751
  epoch 2 batch 950/1143 loss=0.547967
  epoch 2 batch 1000/1143 loss=0.547489
  epoch 2 batch 1050/1143 loss=0.545063
  epoch 2 batch 1100/1143 loss=0.545482
Epoch 2 | train_loss=0.543966 val_mse=0.522409 val_mae=0.341247 (211.1s)
  Validation improved to 0.522409; saved checkpoint.
  epoch 3 batch 50/1143 loss=0.512592
  epoch 3 batch 100/1143 loss=0.499483
  epoch 3 batch 150/1143 loss=0.525809
  epoch 3 batch 200/1143 loss=0.532026
  epoch 3 batch 250/1143 loss=0.538880
  epoch 3 batch 300/1143 loss=0.530937
  epoch 3 batch 350/1143 loss=0.538650
  epoch 3 batch 400/1143 loss=0.531759
  epoch 3 batch 450/1143 loss=0.529777
  epoch 3 batch 500/1143 loss=0.542111
  epoch 3 batch 550/1143 loss=0.539595
  epoch 3 batch 600/1143 loss=0.537785
  epoch 3 batch 650/1143 loss=0.531979
  epoch 3 batch 700/1143 loss=0.529741
  epoch 3 batch 750/1143 loss=0.528768
  epoch 3 batch 800/1143 loss=0.528389
  epoch 3 batch 850/1143 loss=0.528684
  epoch 3 batch 900/1143 loss=0.530709
  epoch 3 batch 950/1143 loss=0.529752
  epoch 3 batch 1000/1143 loss=0.530971
  epoch 3 batch 1050/1143 loss=0.530358
  epoch 3 batch 1100/1143 loss=0.531589
Epoch 3 | train_loss=0.532769 val_mse=0.516471 val_mae=0.337953 (206.3s)
  Validation improved to 0.516471; saved checkpoint.
  epoch 4 batch 50/1143 loss=0.535037
  epoch 4 batch 100/1143 loss=0.543252
  epoch 4 batch 150/1143 loss=0.554461
  epoch 4 batch 200/1143 loss=0.535242
  epoch 4 batch 250/1143 loss=0.540936
  epoch 4 batch 300/1143 loss=0.541139
  epoch 4 batch 350/1143 loss=0.539259
  epoch 4 batch 400/1143 loss=0.542137
  epoch 4 batch 450/1143 loss=0.544453
  epoch 4 batch 500/1143 loss=0.537949
  epoch 4 batch 550/1143 loss=0.539358
  epoch 4 batch 600/1143 loss=0.536543
  epoch 4 batch 650/1143 loss=0.539352
  epoch 4 batch 700/1143 loss=0.533646
  epoch 4 batch 750/1143 loss=0.530019
  epoch 4 batch 800/1143 loss=0.529065
  epoch 4 batch 850/1143 loss=0.527038
  epoch 4 batch 900/1143 loss=0.527293
  epoch 4 batch 950/1143 loss=0.525780
  epoch 4 batch 1000/1143 loss=0.525666
  epoch 4 batch 1050/1143 loss=0.525540
  epoch 4 batch 1100/1143 loss=0.525987
Epoch 4 | train_loss=0.524249 val_mse=0.512161 val_mae=0.335205 (205.8s)
  Validation improved to 0.512161; saved checkpoint.
  epoch 5 batch 50/1143 loss=0.547182
  epoch 5 batch 100/1143 loss=0.549724
  epoch 5 batch 150/1143 loss=0.537228
  epoch 5 batch 200/1143 loss=0.538013
  epoch 5 batch 250/1143 loss=0.523420
  epoch 5 batch 300/1143 loss=0.526928
  epoch 5 batch 350/1143 loss=0.524241
  epoch 5 batch 400/1143 loss=0.523339
  epoch 5 batch 450/1143 loss=0.528418
  epoch 5 batch 500/1143 loss=0.528375
  epoch 5 batch 550/1143 loss=0.525170
  epoch 5 batch 600/1143 loss=0.522747
  epoch 5 batch 650/1143 loss=0.520182
  epoch 5 batch 700/1143 loss=0.518847
  epoch 5 batch 750/1143 loss=0.520054
  epoch 5 batch 800/1143 loss=0.520026
  epoch 5 batch 850/1143 loss=0.523071
  epoch 5 batch 900/1143 loss=0.523396
  epoch 5 batch 950/1143 loss=0.524940
  epoch 5 batch 1000/1143 loss=0.522794
  epoch 5 batch 1050/1143 loss=0.520649
  epoch 5 batch 1100/1143 loss=0.518550
Epoch 5 | train_loss=0.518775 val_mse=0.505900 val_mae=0.329540 (206.3s)
  Validation improved to 0.505900; saved checkpoint.
  epoch 6 batch 50/1143 loss=0.578535
  epoch 6 batch 100/1143 loss=0.551482
  epoch 6 batch 150/1143 loss=0.533054
  epoch 6 batch 200/1143 loss=0.517284
  epoch 6 batch 250/1143 loss=0.514006
  epoch 6 batch 300/1143 loss=0.520978
  epoch 6 batch 350/1143 loss=0.519185
  epoch 6 batch 400/1143 loss=0.514685
  epoch 6 batch 450/1143 loss=0.516190
  epoch 6 batch 500/1143 loss=0.510448
  epoch 6 batch 550/1143 loss=0.510588
  epoch 6 batch 600/1143 loss=0.511110
  epoch 6 batch 650/1143 loss=0.512734
  epoch 6 batch 700/1143 loss=0.512368
  epoch 6 batch 750/1143 loss=0.509673
  epoch 6 batch 800/1143 loss=0.507746
