============================================================
data:
  name: ettm2
  root_path: data/ETT-small
  data_path: ETTm2.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: itransformer
  type: transformer
  d_model: 256
  d_ff: 256
  e_layers: 2
  n_heads: 8
  factor: 1
  dropout: 0.1
  activation: gelu
  use_norm: 1
  output_attention: false
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.0005
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=34273 val=11329 test=11329
Built model: itransformer | params=866,240
  epoch 1 batch 50/1071 loss=0.340222
  epoch 1 batch 100/1071 loss=0.339927
  epoch 1 batch 150/1071 loss=0.337056
  epoch 1 batch 200/1071 loss=0.332337
  epoch 1 batch 250/1071 loss=0.334103
  epoch 1 batch 300/1071 loss=0.337303
  epoch 1 batch 350/1071 loss=0.335885
  epoch 1 batch 400/1071 loss=0.336762
  epoch 1 batch 450/1071 loss=0.336350
  epoch 1 batch 500/1071 loss=0.334181
  epoch 1 batch 550/1071 loss=0.336415
  epoch 1 batch 600/1071 loss=0.337225
  epoch 1 batch 650/1071 loss=0.333782
  epoch 1 batch 700/1071 loss=0.331726
  epoch 1 batch 750/1071 loss=0.333089
  epoch 1 batch 800/1071 loss=0.331073
  epoch 1 batch 850/1071 loss=0.329487
  epoch 1 batch 900/1071 loss=0.328449
  epoch 1 batch 950/1071 loss=0.327066
  epoch 1 batch 1000/1071 loss=0.328675
  epoch 1 batch 1050/1071 loss=0.327336
Epoch 1 | train_loss=0.326135 val_mse=0.177723 val_mae=0.292416 (9.2s)
  Validation improved to 0.177723; saved checkpoint.
  epoch 2 batch 50/1071 loss=0.279887
  epoch 2 batch 100/1071 loss=0.297800
  epoch 2 batch 150/1071 loss=0.298167
  epoch 2 batch 200/1071 loss=0.299586
  epoch 2 batch 250/1071 loss=0.303658
  epoch 2 batch 300/1071 loss=0.305455
  epoch 2 batch 350/1071 loss=0.300546
  epoch 2 batch 400/1071 loss=0.300589
  epoch 2 batch 450/1071 loss=0.299171
  epoch 2 batch 500/1071 loss=0.300166
  epoch 2 batch 550/1071 loss=0.299501
  epoch 2 batch 600/1071 loss=0.298743
  epoch 2 batch 650/1071 loss=0.297560
  epoch 2 batch 700/1071 loss=0.297377
  epoch 2 batch 750/1071 loss=0.296674
  epoch 2 batch 800/1071 loss=0.296165
  epoch 2 batch 850/1071 loss=0.297486
  epoch 2 batch 900/1071 loss=0.297631
  epoch 2 batch 950/1071 loss=0.297944
  epoch 2 batch 1000/1071 loss=0.297674
  epoch 2 batch 1050/1071 loss=0.296730
Epoch 2 | train_loss=0.297100 val_mse=0.193945 val_mae=0.303560 (8.9s)
  EarlyStopping: 1/3
  epoch 3 batch 50/1071 loss=0.280764
  epoch 3 batch 100/1071 loss=0.281522
  epoch 3 batch 150/1071 loss=0.275323
  epoch 3 batch 200/1071 loss=0.274171
  epoch 3 batch 250/1071 loss=0.273798
  epoch 3 batch 300/1071 loss=0.274556
  epoch 3 batch 350/1071 loss=0.271750
  epoch 3 batch 400/1071 loss=0.269958
  epoch 3 batch 450/1071 loss=0.271226
  epoch 3 batch 500/1071 loss=0.271228
  epoch 3 batch 550/1071 loss=0.270526
  epoch 3 batch 600/1071 loss=0.269845
  epoch 3 batch 650/1071 loss=0.269035
  epoch 3 batch 700/1071 loss=0.268955
  epoch 3 batch 750/1071 loss=0.268350
  epoch 3 batch 800/1071 loss=0.268890
  epoch 3 batch 850/1071 loss=0.268461
  epoch 3 batch 900/1071 loss=0.267575
  epoch 3 batch 950/1071 loss=0.266385
  epoch 3 batch 1000/1071 loss=0.266589
  epoch 3 batch 1050/1071 loss=0.266115
Epoch 3 | train_loss=0.265717 val_mse=0.183643 val_mae=0.294833 (9.0s)
  EarlyStopping: 2/3
  epoch 4 batch 50/1071 loss=0.257837
  epoch 4 batch 100/1071 loss=0.245308
  epoch 4 batch 150/1071 loss=0.235363
  epoch 4 batch 200/1071 loss=0.247770
  epoch 4 batch 250/1071 loss=0.247667
  epoch 4 batch 300/1071 loss=0.251516
  epoch 4 batch 350/1071 loss=0.251954
  epoch 4 batch 400/1071 loss=0.249209
  epoch 4 batch 450/1071 loss=0.249859
  epoch 4 batch 500/1071 loss=0.249063
  epoch 4 batch 550/1071 loss=0.248966
  epoch 4 batch 600/1071 loss=0.249735
  epoch 4 batch 650/1071 loss=0.249355
  epoch 4 batch 700/1071 loss=0.247679
  epoch 4 batch 750/1071 loss=0.247237
  epoch 4 batch 800/1071 loss=0.248643
  epoch 4 batch 850/1071 loss=0.246644
  epoch 4 batch 900/1071 loss=0.246696
  epoch 4 batch 950/1071 loss=0.245441
  epoch 4 batch 1000/1071 loss=0.243834
  epoch 4 batch 1050/1071 loss=0.242746
Epoch 4 | train_loss=0.242304 val_mse=0.183181 val_mae=0.294864 (8.9s)
  EarlyStopping: 3/3
Early stopping at epoch 4.

Test | mse=0.253716 mae=0.312545 rmse=0.503703
