============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: moderntcn
  type: cnn
  patch_size: 16
  patch_stride: 8
  ffn_ratio: 1
  num_blocks: 1
  large_size: 31
  small_size: 5
  d_model: 64
  backbone_dropout: 0.1
  head_dropout: 0.1
  revin: true
  affine: false
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 96
  batch_size: 32
  num_workers: 4
  train_epochs: 50
  patience: 10
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36696 val=5175 test=10444
Built model: moderntcn | params=481,120
  epoch 1 batch 50/1146 loss=0.627796
  epoch 1 batch 100/1146 loss=0.577919
  epoch 1 batch 150/1146 loss=0.544385
  epoch 1 batch 200/1146 loss=0.555822
  epoch 1 batch 250/1146 loss=0.532468
  epoch 1 batch 300/1146 loss=0.518387
  epoch 1 batch 350/1146 loss=0.500889
  epoch 1 batch 400/1146 loss=0.496240
  epoch 1 batch 450/1146 loss=0.489266
  epoch 1 batch 500/1146 loss=0.484627
  epoch 1 batch 550/1146 loss=0.477250
  epoch 1 batch 600/1146 loss=0.472829
  epoch 1 batch 650/1146 loss=0.465712
  epoch 1 batch 700/1146 loss=0.463012
  epoch 1 batch 750/1146 loss=0.459824
  epoch 1 batch 800/1146 loss=0.455968
  epoch 1 batch 850/1146 loss=0.456869
  epoch 1 batch 900/1146 loss=0.456109
  epoch 1 batch 950/1146 loss=0.456422
  epoch 1 batch 1000/1146 loss=0.452804
  epoch 1 batch 1050/1146 loss=0.453632
  epoch 1 batch 1100/1146 loss=0.451918
Epoch 1 | train_loss=0.448667 val_mse=0.392447 val_mae=0.271532 (14.2s)
  Validation improved to 0.392447; saved checkpoint.
  epoch 2 batch 50/1146 loss=0.551694
  epoch 2 batch 100/1146 loss=0.498849
  epoch 2 batch 150/1146 loss=0.450112
  epoch 2 batch 200/1146 loss=0.440299
  epoch 2 batch 250/1146 loss=0.422637
  epoch 2 batch 300/1146 loss=0.415933
  epoch 2 batch 350/1146 loss=0.416043
  epoch 2 batch 400/1146 loss=0.416889
  epoch 2 batch 450/1146 loss=0.419108
  epoch 2 batch 500/1146 loss=0.410315
  epoch 2 batch 550/1146 loss=0.404589
  epoch 2 batch 600/1146 loss=0.403829
  epoch 2 batch 650/1146 loss=0.401608
  epoch 2 batch 700/1146 loss=0.404577
  epoch 2 batch 750/1146 loss=0.403265
  epoch 2 batch 800/1146 loss=0.399424
  epoch 2 batch 850/1146 loss=0.399942
  epoch 2 batch 900/1146 loss=0.402817
  epoch 2 batch 950/1146 loss=0.402331
  epoch 2 batch 1000/1146 loss=0.405937
  epoch 2 batch 1050/1146 loss=0.406304
  epoch 2 batch 1100/1146 loss=0.407197
Epoch 2 | train_loss=0.404319 val_mse=0.393043 val_mae=0.265792 (12.7s)
  EarlyStopping: 1/10
  epoch 3 batch 50/1146 loss=0.421337
  epoch 3 batch 100/1146 loss=0.395086
  epoch 3 batch 150/1146 loss=0.410793
  epoch 3 batch 200/1146 loss=0.398972
  epoch 3 batch 250/1146 loss=0.386872
  epoch 3 batch 300/1146 loss=0.388305
  epoch 3 batch 350/1146 loss=0.391927
  epoch 3 batch 400/1146 loss=0.385251
  epoch 3 batch 450/1146 loss=0.377374
  epoch 3 batch 500/1146 loss=0.381608
  epoch 3 batch 550/1146 loss=0.379348
  epoch 3 batch 600/1146 loss=0.379115
  epoch 3 batch 650/1146 loss=0.379221
  epoch 3 batch 700/1146 loss=0.376052
  epoch 3 batch 750/1146 loss=0.376584
  epoch 3 batch 800/1146 loss=0.377553
  epoch 3 batch 850/1146 loss=0.375546
  epoch 3 batch 900/1146 loss=0.379879
