============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: patchtst
  type: transformer
  d_model: 128
  d_ff: 256
  e_layers: 3
  n_heads: 16
  patch_len: 16
  stride: 8
  dropout: 0.2
  fc_dropout: 0.2
  head_dropout: 0.0
  activation: gelu
  revin: 1
  affine: 0
  subtract_last: 0
  decomposition: 0
  kernel_size: 25
  individual: 0
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.0001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36456 val=4935 test=10204
Built model: patchtst | params=916,176
  epoch 1 batch 50/1139 loss=0.782048
  epoch 1 batch 100/1139 loss=0.732067
  epoch 1 batch 150/1139 loss=0.703798
  epoch 1 batch 200/1139 loss=0.699244
  epoch 1 batch 250/1139 loss=0.698966
  epoch 1 batch 300/1139 loss=0.689105
  epoch 1 batch 350/1139 loss=0.682494
  epoch 1 batch 400/1139 loss=0.671737
  epoch 1 batch 450/1139 loss=0.668929
  epoch 1 batch 500/1139 loss=0.665288
  epoch 1 batch 550/1139 loss=0.663831
  epoch 1 batch 600/1139 loss=0.658983
  epoch 1 batch 650/1139 loss=0.655929
  epoch 1 batch 700/1139 loss=0.655629
  epoch 1 batch 750/1139 loss=0.655850
  epoch 1 batch 800/1139 loss=0.651090
  epoch 1 batch 850/1139 loss=0.649228
  epoch 1 batch 900/1139 loss=0.647005
  epoch 1 batch 950/1139 loss=0.646830
  epoch 1 batch 1000/1139 loss=0.645311
  epoch 1 batch 1050/1139 loss=0.644549
  epoch 1 batch 1100/1139 loss=0.642483
Epoch 1 | train_loss=0.642540 val_mse=0.618712 val_mae=0.402746 (220.7s)
  Validation improved to 0.618712; saved checkpoint.
  epoch 2 batch 50/1139 loss=0.629415
  epoch 2 batch 100/1139 loss=0.629314
  epoch 2 batch 150/1139 loss=0.632890
  epoch 2 batch 200/1139 loss=0.631979
  epoch 2 batch 250/1139 loss=0.633707
  epoch 2 batch 300/1139 loss=0.628388
  epoch 2 batch 350/1139 loss=0.623037
  epoch 2 batch 400/1139 loss=0.622840
  epoch 2 batch 450/1139 loss=0.625609
  epoch 2 batch 500/1139 loss=0.626322
  epoch 2 batch 550/1139 loss=0.625304
  epoch 2 batch 600/1139 loss=0.624350
  epoch 2 batch 650/1139 loss=0.622081
  epoch 2 batch 700/1139 loss=0.622316
  epoch 2 batch 750/1139 loss=0.621064
  epoch 2 batch 800/1139 loss=0.618986
  epoch 2 batch 850/1139 loss=0.618066
  epoch 2 batch 900/1139 loss=0.616050
  epoch 2 batch 950/1139 loss=0.618201
  epoch 2 batch 1000/1139 loss=0.617634
  epoch 2 batch 1050/1139 loss=0.616276
  epoch 2 batch 1100/1139 loss=0.616793
Epoch 2 | train_loss=0.616581 val_mse=0.620997 val_mae=0.400571 (215.3s)
  EarlyStopping: 1/8
  epoch 3 batch 50/1139 loss=0.623149
  epoch 3 batch 100/1139 loss=0.615269
  epoch 3 batch 150/1139 loss=0.614309
  epoch 3 batch 200/1139 loss=0.612613
  epoch 3 batch 250/1139 loss=0.597490
  epoch 3 batch 300/1139 loss=0.596390
  epoch 3 batch 350/1139 loss=0.600555
  epoch 3 batch 400/1139 loss=0.599748
  epoch 3 batch 450/1139 loss=0.604451
  epoch 3 batch 500/1139 loss=0.607505
  epoch 3 batch 550/1139 loss=0.608399
  epoch 3 batch 600/1139 loss=0.609273
  epoch 3 batch 650/1139 loss=0.609691
  epoch 3 batch 700/1139 loss=0.608372
  epoch 3 batch 750/1139 loss=0.605760
  epoch 3 batch 800/1139 loss=0.604768
  epoch 3 batch 850/1139 loss=0.606507
  epoch 3 batch 900/1139 loss=0.606669
  epoch 3 batch 950/1139 loss=0.606418
  epoch 3 batch 1000/1139 loss=0.606240
  epoch 3 batch 1050/1139 loss=0.606802
  epoch 3 batch 1100/1139 loss=0.606332
Epoch 3 | train_loss=0.604594 val_mse=0.603089 val_mae=0.393028 (213.4s)
  Validation improved to 0.603089; saved checkpoint.
  epoch 4 batch 50/1139 loss=0.559086
  epoch 4 batch 100/1139 loss=0.573722
  epoch 4 batch 150/1139 loss=0.586488
  epoch 4 batch 200/1139 loss=0.592815
  epoch 4 batch 250/1139 loss=0.591850
  epoch 4 batch 300/1139 loss=0.586935
  epoch 4 batch 350/1139 loss=0.588173
  epoch 4 batch 400/1139 loss=0.593650
