============================================================
data:
  name: traffic
  root_path: data/traffic
  data_path: traffic.csv
  data_kind: custom
  features: M
  target: OT
  freq: h
  n_vars: 862
model:
  name: gru
  type: rnn
  d_model: 128
  e_layers: 2
  dropout: 0.1
  revin: true
  affine: true
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 8
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=11465 val=1037 test=2789
Built model: gru | params=243,980
  epoch 1 batch 50/1433 loss=0.786393
  epoch 1 batch 100/1433 loss=0.692218
  epoch 1 batch 150/1433 loss=0.659839
  epoch 1 batch 200/1433 loss=0.639540
  epoch 1 batch 250/1433 loss=0.624301
  epoch 1 batch 300/1433 loss=0.611672
  epoch 1 batch 350/1433 loss=0.603468
  epoch 1 batch 400/1433 loss=0.595230
  epoch 1 batch 450/1433 loss=0.585552
  epoch 1 batch 500/1433 loss=0.576512
  epoch 1 batch 550/1433 loss=0.568506
  epoch 1 batch 600/1433 loss=0.560993
  epoch 1 batch 650/1433 loss=0.554577
  epoch 1 batch 700/1433 loss=0.547996
  epoch 1 batch 750/1433 loss=0.541712
  epoch 1 batch 800/1433 loss=0.536437
  epoch 1 batch 850/1433 loss=0.531010
  epoch 1 batch 900/1433 loss=0.526233
  epoch 1 batch 950/1433 loss=0.521669
  epoch 1 batch 1000/1433 loss=0.517495
  epoch 1 batch 1050/1433 loss=0.513339
  epoch 1 batch 1100/1433 loss=0.509235
  epoch 1 batch 1150/1433 loss=0.505298
  epoch 1 batch 1200/1433 loss=0.501518
  epoch 1 batch 1250/1433 loss=0.497984
  epoch 1 batch 1300/1433 loss=0.494345
  epoch 1 batch 1350/1433 loss=0.491194
  epoch 1 batch 1400/1433 loss=0.488260
Epoch 1 | train_loss=0.486185 val_mse=0.567478 val_mae=0.388579 (252.6s)
  Validation improved to 0.567478; saved checkpoint.
  epoch 2 batch 50/1433 loss=0.398717
  epoch 2 batch 100/1433 loss=0.399017
  epoch 2 batch 150/1433 loss=0.398717
  epoch 2 batch 200/1433 loss=0.396348
  epoch 2 batch 250/1433 loss=0.394160
  epoch 2 batch 300/1433 loss=0.392049
  epoch 2 batch 350/1433 loss=0.391244
  epoch 2 batch 400/1433 loss=0.389601
  epoch 2 batch 450/1433 loss=0.388316
  epoch 2 batch 500/1433 loss=0.387088
  epoch 2 batch 550/1433 loss=0.386408
  epoch 2 batch 600/1433 loss=0.385065
  epoch 2 batch 650/1433 loss=0.384196
  epoch 2 batch 700/1433 loss=0.383191
  epoch 2 batch 750/1433 loss=0.382184
  epoch 2 batch 800/1433 loss=0.381206
  epoch 2 batch 850/1433 loss=0.380317
  epoch 2 batch 900/1433 loss=0.379266
  epoch 2 batch 950/1433 loss=0.378556
  epoch 2 batch 1000/1433 loss=0.377667
  epoch 2 batch 1050/1433 loss=0.377185
  epoch 2 batch 1100/1433 loss=0.376523
  epoch 2 batch 1150/1433 loss=0.375983
  epoch 2 batch 1200/1433 loss=0.375317
  epoch 2 batch 1250/1433 loss=0.374568
  epoch 2 batch 1300/1433 loss=0.373717
  epoch 2 batch 1350/1433 loss=0.372825
  epoch 2 batch 1400/1433 loss=0.372082
Epoch 2 | train_loss=0.371667 val_mse=0.514587 val_mae=0.348069 (65.5s)
  Validation improved to 0.514587; saved checkpoint.
  epoch 3 batch 50/1433 loss=0.345742
  epoch 3 batch 100/1433 loss=0.346527
  epoch 3 batch 150/1433 loss=0.345960
  epoch 3 batch 200/1433 loss=0.346132
  epoch 3 batch 250/1433 loss=0.345933
  epoch 3 batch 300/1433 loss=0.345514
  epoch 3 batch 350/1433 loss=0.345149
  epoch 3 batch 400/1433 loss=0.344480
  epoch 3 batch 450/1433 loss=0.344031
  epoch 3 batch 500/1433 loss=0.343690
  epoch 3 batch 550/1433 loss=0.343354
  epoch 3 batch 600/1433 loss=0.343141
  epoch 3 batch 650/1433 loss=0.342645
  epoch 3 batch 700/1433 loss=0.342492
  epoch 3 batch 750/1433 loss=0.342053
  epoch 3 batch 800/1433 loss=0.341757
  epoch 3 batch 850/1433 loss=0.341589
  epoch 3 batch 900/1433 loss=0.341619
  epoch 3 batch 950/1433 loss=0.341445
  epoch 3 batch 1000/1433 loss=0.341348
  epoch 3 batch 1050/1433 loss=0.341135
  epoch 3 batch 1100/1433 loss=0.340898
  epoch 3 batch 1150/1433 loss=0.340847
  epoch 3 batch 1200/1433 loss=0.340807
  epoch 3 batch 1250/1433 loss=0.340613
  epoch 3 batch 1300/1433 loss=0.340616
  epoch 3 batch 1350/1433 loss=0.340464
  epoch 3 batch 1400/1433 loss=0.340315
Epoch 3 | train_loss=0.340169 val_mse=0.506367 val_mae=0.335927 (71.0s)
  Validation improved to 0.506367; saved checkpoint.
  epoch 4 batch 50/1433 loss=0.335092
  epoch 4 batch 100/1433 loss=0.335164
  epoch 4 batch 150/1433 loss=0.334236
  epoch 4 batch 200/1433 loss=0.334012
  epoch 4 batch 250/1433 loss=0.334145
  epoch 4 batch 300/1433 loss=0.333590
  epoch 4 batch 350/1433 loss=0.333505
  epoch 4 batch 400/1433 loss=0.333392
  epoch 4 batch 450/1433 loss=0.333005
  epoch 4 batch 500/1433 loss=0.332426
  epoch 4 batch 550/1433 loss=0.332508
  epoch 4 batch 600/1433 loss=0.332198
  epoch 4 batch 650/1433 loss=0.331722
  epoch 4 batch 700/1433 loss=0.331392
  epoch 4 batch 750/1433 loss=0.331120
  epoch 4 batch 800/1433 loss=0.331338
  epoch 4 batch 850/1433 loss=0.331273
  epoch 4 batch 900/1433 loss=0.331033
  epoch 4 batch 950/1433 loss=0.330659
  epoch 4 batch 1000/1433 loss=0.330475
  epoch 4 batch 1050/1433 loss=0.330324
  epoch 4 batch 1100/1433 loss=0.330399
  epoch 4 batch 1150/1433 loss=0.330210
  epoch 4 batch 1200/1433 loss=0.330074
  epoch 4 batch 1250/1433 loss=0.330024
  epoch 4 batch 1300/1433 loss=0.330030
  epoch 4 batch 1350/1433 loss=0.330052
  epoch 4 batch 1400/1433 loss=0.329831
Epoch 4 | train_loss=0.329820 val_mse=0.499415 val_mae=0.330627 (88.4s)
  Validation improved to 0.499415; saved checkpoint.
  epoch 5 batch 50/1433 loss=0.326746
  epoch 5 batch 100/1433 loss=0.324363
  epoch 5 batch 150/1433 loss=0.324842
  epoch 5 batch 200/1433 loss=0.324381
  epoch 5 batch 250/1433 loss=0.324983
  epoch 5 batch 300/1433 loss=0.324864
  epoch 5 batch 350/1433 loss=0.324444
  epoch 5 batch 400/1433 loss=0.323955
  epoch 5 batch 450/1433 loss=0.324408
  epoch 5 batch 500/1433 loss=0.324795
  epoch 5 batch 550/1433 loss=0.325068
  epoch 5 batch 600/1433 loss=0.325234
  epoch 5 batch 650/1433 loss=0.325436
  epoch 5 batch 700/1433 loss=0.325253
  epoch 5 batch 750/1433 loss=0.325065
  epoch 5 batch 800/1433 loss=0.325152
  epoch 5 batch 850/1433 loss=0.325023
  epoch 5 batch 900/1433 loss=0.324870
  epoch 5 batch 950/1433 loss=0.324902
  epoch 5 batch 1000/1433 loss=0.324903
  epoch 5 batch 1050/1433 loss=0.325051
  epoch 5 batch 1100/1433 loss=0.325048
  epoch 5 batch 1150/1433 loss=0.325161
  epoch 5 batch 1200/1433 loss=0.325140
  epoch 5 batch 1250/1433 loss=0.324890
  epoch 5 batch 1300/1433 loss=0.324620
  epoch 5 batch 1350/1433 loss=0.324660
  epoch 5 batch 1400/1433 loss=0.324666
Epoch 5 | train_loss=0.324633 val_mse=0.498233 val_mae=0.330228 (60.8s)
  Validation improved to 0.498233; saved checkpoint.
  epoch 6 batch 50/1433 loss=0.323445
  epoch 6 batch 100/1433 loss=0.324784
  epoch 6 batch 150/1433 loss=0.323788
  epoch 6 batch 200/1433 loss=0.323223
  epoch 6 batch 250/1433 loss=0.322262
  epoch 6 batch 300/1433 loss=0.322326
  epoch 6 batch 350/1433 loss=0.322447
  epoch 6 batch 400/1433 loss=0.322478
  epoch 6 batch 450/1433 loss=0.322107
  epoch 6 batch 500/1433 loss=0.322053
  epoch 6 batch 550/1433 loss=0.322003
  epoch 6 batch 600/1433 loss=0.321770
  epoch 6 batch 650/1433 loss=0.321451
  epoch 6 batch 700/1433 loss=0.321580
  epoch 6 batch 750/1433 loss=0.321554
  epoch 6 batch 800/1433 loss=0.321572
  epoch 6 batch 850/1433 loss=0.321592
  epoch 6 batch 900/1433 loss=0.321340
  epoch 6 batch 950/1433 loss=0.321466
  epoch 6 batch 1000/1433 loss=0.321658
  epoch 6 batch 1050/1433 loss=0.321553
  epoch 6 batch 1100/1433 loss=0.321572
  epoch 6 batch 1150/1433 loss=0.321728
  epoch 6 batch 1200/1433 loss=0.321641
  epoch 6 batch 1250/1433 loss=0.321767
  epoch 6 batch 1300/1433 loss=0.321802
  epoch 6 batch 1350/1433 loss=0.321831
  epoch 6 batch 1400/1433 loss=0.321977
Epoch 6 | train_loss=0.322119 val_mse=0.496824 val_mae=0.328000 (77.1s)
  Validation improved to 0.496824; saved checkpoint.
  epoch 7 batch 50/1433 loss=0.320779
  epoch 7 batch 100/1433 loss=0.321474
  epoch 7 batch 150/1433 loss=0.322465
  epoch 7 batch 200/1433 loss=0.321553
  epoch 7 batch 250/1433 loss=0.321840
  epoch 7 batch 300/1433 loss=0.321165
  epoch 7 batch 350/1433 loss=0.320722
  epoch 7 batch 400/1433 loss=0.320764
  epoch 7 batch 450/1433 loss=0.320813
  epoch 7 batch 500/1433 loss=0.320891
  epoch 7 batch 550/1433 loss=0.320893
  epoch 7 batch 600/1433 loss=0.321011
  epoch 7 batch 650/1433 loss=0.320847
  epoch 7 batch 700/1433 loss=0.321031
  epoch 7 batch 750/1433 loss=0.320950
  epoch 7 batch 800/1433 loss=0.320968
  epoch 7 batch 850/1433 loss=0.320891
  epoch 7 batch 900/1433 loss=0.320770
  epoch 7 batch 950/1433 loss=0.320739
  epoch 7 batch 1000/1433 loss=0.320783
  epoch 7 batch 1050/1433 loss=0.320830
  epoch 7 batch 1100/1433 loss=0.320855
  epoch 7 batch 1150/1433 loss=0.320841
  epoch 7 batch 1200/1433 loss=0.320745
  epoch 7 batch 1250/1433 loss=0.320793
  epoch 7 batch 1300/1433 loss=0.320660
  epoch 7 batch 1350/1433 loss=0.320808
  epoch 7 batch 1400/1433 loss=0.320637
Epoch 7 | train_loss=0.320681 val_mse=0.496886 val_mae=0.326687 (80.7s)
  EarlyStopping: 1/3
  epoch 8 batch 50/1433 loss=0.323179
  epoch 8 batch 100/1433 loss=0.320055
  epoch 8 batch 150/1433 loss=0.320585
  epoch 8 batch 200/1433 loss=0.320714
  epoch 8 batch 250/1433 loss=0.321330
  epoch 8 batch 300/1433 loss=0.321040
  epoch 8 batch 350/1433 loss=0.321192
  epoch 8 batch 400/1433 loss=0.320420
  epoch 8 batch 450/1433 loss=0.320553
  epoch 8 batch 500/1433 loss=0.320290
  epoch 8 batch 550/1433 loss=0.320394
  epoch 8 batch 600/1433 loss=0.320392
  epoch 8 batch 650/1433 loss=0.320105
  epoch 8 batch 700/1433 loss=0.319894
  epoch 8 batch 750/1433 loss=0.319786
  epoch 8 batch 800/1433 loss=0.319703
  epoch 8 batch 850/1433 loss=0.319673
  epoch 8 batch 900/1433 loss=0.319848
  epoch 8 batch 950/1433 loss=0.319716
  epoch 8 batch 1000/1433 loss=0.319676
  epoch 8 batch 1050/1433 loss=0.319740
  epoch 8 batch 1100/1433 loss=0.319708
  epoch 8 batch 1150/1433 loss=0.319827
  epoch 8 batch 1200/1433 loss=0.319835
  epoch 8 batch 1250/1433 loss=0.319937
  epoch 8 batch 1300/1433 loss=0.319997
  epoch 8 batch 1350/1433 loss=0.319949
  epoch 8 batch 1400/1433 loss=0.319867
Epoch 8 | train_loss=0.319942 val_mse=0.495586 val_mae=0.325062 (128.1s)
  Validation improved to 0.495586; saved checkpoint.
  epoch 9 batch 50/1433 loss=0.322337
  epoch 9 batch 100/1433 loss=0.322091
  epoch 9 batch 150/1433 loss=0.321494
  epoch 9 batch 200/1433 loss=0.321484
  epoch 9 batch 250/1433 loss=0.321607
  epoch 9 batch 300/1433 loss=0.321734
  epoch 9 batch 350/1433 loss=0.320973
  epoch 9 batch 400/1433 loss=0.320635
  epoch 9 batch 450/1433 loss=0.320495
  epoch 9 batch 500/1433 loss=0.320216
  epoch 9 batch 550/1433 loss=0.320320
  epoch 9 batch 600/1433 loss=0.320395
  epoch 9 batch 650/1433 loss=0.320106
  epoch 9 batch 700/1433 loss=0.320105
  epoch 9 batch 750/1433 loss=0.320045
  epoch 9 batch 800/1433 loss=0.320197
  epoch 9 batch 850/1433 loss=0.320125
  epoch 9 batch 900/1433 loss=0.319854
  epoch 9 batch 950/1433 loss=0.319663
  epoch 9 batch 1000/1433 loss=0.319715
  epoch 9 batch 1050/1433 loss=0.319593
  epoch 9 batch 1100/1433 loss=0.319723
  epoch 9 batch 1150/1433 loss=0.319539
  epoch 9 batch 1200/1433 loss=0.319652
  epoch 9 batch 1250/1433 loss=0.319690
  epoch 9 batch 1300/1433 loss=0.319593
  epoch 9 batch 1350/1433 loss=0.319518
  epoch 9 batch 1400/1433 loss=0.319521
Epoch 9 | train_loss=0.319562 val_mse=0.495150 val_mae=0.325450 (151.7s)
  Validation improved to 0.495150; saved checkpoint.
  epoch 10 batch 50/1433 loss=0.321255
  epoch 10 batch 100/1433 loss=0.320782
  epoch 10 batch 150/1433 loss=0.321451
  epoch 10 batch 200/1433 loss=0.320799
  epoch 10 batch 250/1433 loss=0.320546
  epoch 10 batch 300/1433 loss=0.320525
  epoch 10 batch 350/1433 loss=0.320757
  epoch 10 batch 400/1433 loss=0.321072
  epoch 10 batch 450/1433 loss=0.321050
  epoch 10 batch 500/1433 loss=0.320921
  epoch 10 batch 550/1433 loss=0.320753
  epoch 10 batch 600/1433 loss=0.320222
  epoch 10 batch 650/1433 loss=0.320146
  epoch 10 batch 700/1433 loss=0.320044
  epoch 10 batch 750/1433 loss=0.319974
  epoch 10 batch 800/1433 loss=0.320086
  epoch 10 batch 850/1433 loss=0.320024
  epoch 10 batch 900/1433 loss=0.320127
  epoch 10 batch 950/1433 loss=0.319880
  epoch 10 batch 1000/1433 loss=0.319626
  epoch 10 batch 1050/1433 loss=0.319527
  epoch 10 batch 1100/1433 loss=0.319337
  epoch 10 batch 1150/1433 loss=0.319329
  epoch 10 batch 1200/1433 loss=0.319293
  epoch 10 batch 1250/1433 loss=0.319343
  epoch 10 batch 1300/1433 loss=0.319311
  epoch 10 batch 1350/1433 loss=0.319399
  epoch 10 batch 1400/1433 loss=0.319312
Epoch 10 | train_loss=0.319360 val_mse=0.495072 val_mae=0.325006 (114.8s)
  Validation improved to 0.495072; saved checkpoint.

Test | mse=0.601323 mae=0.359290 rmse=0.775450
