============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: timemixer
  type: mlp
  d_model: 16
  d_ff: 32
  e_layers: 2
  down_sampling_layers: 3
  down_sampling_window: 2
  down_sampling_method: avg
  decomp_method: moving_avg
  moving_avg: 25
  top_k: 5
  channel_independence: 1
  use_norm: 1
  dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 96
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 5
  learning_rate: 0.01
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36696 val=5175 test=10444
Built model: timemixer | params=75,465
  epoch 1 batch 50/1146 loss=0.551268
  epoch 1 batch 100/1146 loss=0.548613
  epoch 1 batch 150/1146 loss=0.503990
  epoch 1 batch 200/1146 loss=0.487148
  epoch 1 batch 250/1146 loss=0.493559
  epoch 1 batch 300/1146 loss=0.486964
  epoch 1 batch 350/1146 loss=0.483541
  epoch 1 batch 400/1146 loss=0.477631
  epoch 1 batch 450/1146 loss=0.468399
  epoch 1 batch 500/1146 loss=0.468306
  epoch 1 batch 550/1146 loss=0.466939
  epoch 1 batch 600/1146 loss=0.461117
  epoch 1 batch 650/1146 loss=0.460420
  epoch 1 batch 700/1146 loss=0.456876
  epoch 1 batch 750/1146 loss=0.451938
  epoch 1 batch 800/1146 loss=0.449045
  epoch 1 batch 850/1146 loss=0.445513
  epoch 1 batch 900/1146 loss=0.447944
  epoch 1 batch 950/1146 loss=0.444440
  epoch 1 batch 1000/1146 loss=0.443935
  epoch 1 batch 1050/1146 loss=0.442663
  epoch 1 batch 1100/1146 loss=0.443431
Epoch 1 | train_loss=0.442061 val_mse=0.411159 val_mae=0.284089 (21.0s)
  Validation improved to 0.411159; saved checkpoint.
  epoch 2 batch 50/1146 loss=0.471240
  epoch 2 batch 100/1146 loss=0.471488
  epoch 2 batch 150/1146 loss=0.472426
  epoch 2 batch 200/1146 loss=0.475790
  epoch 2 batch 250/1146 loss=0.458453
  epoch 2 batch 300/1146 loss=0.444278
  epoch 2 batch 350/1146 loss=0.443410
  epoch 2 batch 400/1146 loss=0.445664
  epoch 2 batch 450/1146 loss=0.446629
  epoch 2 batch 500/1146 loss=0.446487
  epoch 2 batch 550/1146 loss=0.441605
  epoch 2 batch 600/1146 loss=0.434477
  epoch 2 batch 650/1146 loss=0.434656
  epoch 2 batch 700/1146 loss=0.432059
  epoch 2 batch 750/1146 loss=0.429153
  epoch 2 batch 800/1146 loss=0.428108
  epoch 2 batch 850/1146 loss=0.426353
  epoch 2 batch 900/1146 loss=0.426839
  epoch 2 batch 950/1146 loss=0.426814
  epoch 2 batch 1000/1146 loss=0.426052
  epoch 2 batch 1050/1146 loss=0.428437
  epoch 2 batch 1100/1146 loss=0.428151
Epoch 2 | train_loss=0.426745 val_mse=0.403129 val_mae=0.276465 (20.7s)
  Validation improved to 0.403129; saved checkpoint.
  epoch 3 batch 50/1146 loss=0.384585
  epoch 3 batch 100/1146 loss=0.445447
  epoch 3 batch 150/1146 loss=0.437487
  epoch 3 batch 200/1146 loss=0.429169
  epoch 3 batch 250/1146 loss=0.431825
  epoch 3 batch 300/1146 loss=0.444613
  epoch 3 batch 350/1146 loss=0.437540
  epoch 3 batch 400/1146 loss=0.429947
  epoch 3 batch 450/1146 loss=0.430891
  epoch 3 batch 500/1146 loss=0.427329
  epoch 3 batch 550/1146 loss=0.426869
  epoch 3 batch 600/1146 loss=0.426096
  epoch 3 batch 650/1146 loss=0.429127
  epoch 3 batch 700/1146 loss=0.425506
  epoch 3 batch 750/1146 loss=0.424371
  epoch 3 batch 800/1146 loss=0.421898
  epoch 3 batch 850/1146 loss=0.423038
  epoch 3 batch 900/1146 loss=0.421062
  epoch 3 batch 950/1146 loss=0.423543
  epoch 3 batch 1000/1146 loss=0.423304
  epoch 3 batch 1050/1146 loss=0.425110
  epoch 3 batch 1100/1146 loss=0.426607
Epoch 3 | train_loss=0.423765 val_mse=0.397341 val_mae=0.271656 (20.4s)
  Validation improved to 0.397341; saved checkpoint.
  epoch 4 batch 50/1146 loss=0.413906
  epoch 4 batch 100/1146 loss=0.456445
  epoch 4 batch 150/1146 loss=0.424137
  epoch 4 batch 200/1146 loss=0.436777
  epoch 4 batch 250/1146 loss=0.437484
  epoch 4 batch 300/1146 loss=0.430422
  epoch 4 batch 350/1146 loss=0.429865
  epoch 4 batch 400/1146 loss=0.433641
  epoch 4 batch 450/1146 loss=0.429691
  epoch 4 batch 500/1146 loss=0.421991
  epoch 4 batch 550/1146 loss=0.419036
  epoch 4 batch 600/1146 loss=0.425074
  epoch 4 batch 650/1146 loss=0.423235
  epoch 4 batch 700/1146 loss=0.420108
  epoch 4 batch 750/1146 loss=0.421312
  epoch 4 batch 800/1146 loss=0.418401
