============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: metatsf_conv
  type: cnn
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: conv
    kernel_size: 31
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.001
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned2

============================================================
Loaded data | train=36456 val=4935 test=10204
Built model: metatsf_conv | params=61,892
  epoch 1 batch 50/1139 loss=0.691679
  epoch 1 batch 100/1139 loss=0.641175
  epoch 1 batch 150/1139 loss=0.618144
  epoch 1 batch 200/1139 loss=0.602845
  epoch 1 batch 250/1139 loss=0.594041
  epoch 1 batch 300/1139 loss=0.587841
  epoch 1 batch 350/1139 loss=0.586253
  epoch 1 batch 400/1139 loss=0.583799
  epoch 1 batch 450/1139 loss=0.586719
  epoch 1 batch 500/1139 loss=0.587589
  epoch 1 batch 550/1139 loss=0.586481
  epoch 1 batch 600/1139 loss=0.580639
  epoch 1 batch 650/1139 loss=0.579559
  epoch 1 batch 700/1139 loss=0.576263
  epoch 1 batch 750/1139 loss=0.573761
  epoch 1 batch 800/1139 loss=0.573450
  epoch 1 batch 850/1139 loss=0.573233
  epoch 1 batch 900/1139 loss=0.570764
  epoch 1 batch 950/1139 loss=0.571475
  epoch 1 batch 1000/1139 loss=0.571100
  epoch 1 batch 1050/1139 loss=0.568681
  epoch 1 batch 1100/1139 loss=0.567382
Epoch 1 | train_loss=0.566237 val_mse=0.560578 val_mae=0.379542 (16.4s)
  Validation improved to 0.560578; saved checkpoint.
  epoch 2 batch 50/1139 loss=0.542612
  epoch 2 batch 100/1139 loss=0.533366
  epoch 2 batch 150/1139 loss=0.534073
  epoch 2 batch 200/1139 loss=0.538861
  epoch 2 batch 250/1139 loss=0.531386
  epoch 2 batch 300/1139 loss=0.530760
  epoch 2 batch 350/1139 loss=0.534889
  epoch 2 batch 400/1139 loss=0.538781
  epoch 2 batch 450/1139 loss=0.537372
  epoch 2 batch 500/1139 loss=0.538031
  epoch 2 batch 550/1139 loss=0.537927
  epoch 2 batch 600/1139 loss=0.542131
  epoch 2 batch 650/1139 loss=0.538877
  epoch 2 batch 700/1139 loss=0.539388
  epoch 2 batch 750/1139 loss=0.537282
  epoch 2 batch 800/1139 loss=0.539320
  epoch 2 batch 850/1139 loss=0.540826
  epoch 2 batch 900/1139 loss=0.539874
  epoch 2 batch 950/1139 loss=0.537928
  epoch 2 batch 1000/1139 loss=0.536959
  epoch 2 batch 1050/1139 loss=0.535657
  epoch 2 batch 1100/1139 loss=0.534922
Epoch 2 | train_loss=0.534059 val_mse=0.559931 val_mae=0.378174 (16.6s)
  Validation improved to 0.559931; saved checkpoint.
